lineup_id,lineup_names,team,games_played,min,off_rating,def_rating,net_rating,ast_pct,oreb_pct,dreb_pct,reb_pct,tov_pct,efg_pct,ts_pct,pace,pie,possessions,season
-101108-203109-1626164-1628969-1629028-,C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton,PHX,52,706.0,115.9,111.2,4.7,0.633,0.217,0.748,0.49,0.115,0.579,0.611,100.11,0.537,1475,2020-21
-201980-202699-203552-203954-1627732-,D. Green - T. Harris - S. Curry - J. Embiid - B. Simmons,PHI,32,656.0,117.7,103.7,14.0,0.609,0.217,0.76,0.507,0.127,0.579,0.621,100.57,0.589,1384,2020-21
-202339-203500-1627742-1628366-1629627-,E. Bledsoe - S. Adams - B. Ingram - L. Ball - Z. Williamson,NOP,41,610.0,115.9,113.8,2.0,0.644,0.3,0.755,0.532,0.134,0.571,0.59,100.35,0.528,1279,2020-21
-201144-202711-203497-1626220-1628378-,M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell,UTA,41,593.0,114.2,103.4,10.8,0.557,0.276,0.736,0.524,0.133,0.558,0.592,99.89,0.558,1232,2020-21
-203457-203493-203901-203944-1629628-,N. Noel - R. Bullock - E. Payton - J. Randle - R. Barrett,NYK,41,554.0,109.0,113.6,-4.6,0.55,0.246,0.734,0.489,0.137,0.543,0.57,97.35,0.454,1124,2020-21
-201572-201950-203114-203507-1628978-,B. Lopez - J. Holiday - K. Middleton - G. Antetokounmpo - D. DiVincenzo,MIL,45,508.0,117.7,109.0,8.7,0.605,0.23,0.806,0.526,0.132,0.598,0.619,107.9,0.559,1150,2020-21
-202685-203937-1628415-1628960-1629630-,J. Valanciunas - K. Anderson - D. Brooks - G. Allen - J. Morant,MEM,35,457.0,116.2,107.6,8.7,0.604,0.268,0.787,0.532,0.116,0.55,0.582,104.63,0.536,991,2020-21
-203084-1626158-1627741-1628368-1628963-,H. Barnes - R. Holmes - B. Hield - D. Fox - M. Bagley III,SAC,32,425.0,121.4,114.2,7.2,0.6,0.26,0.774,0.517,0.114,0.596,0.611,101.28,0.526,893,2020-21
-203084-1626158-1627741-1628368-1630169-,H. Barnes - R. Holmes - B. Hield - D. Fox - T. Haliburton,SAC,40,404.0,120.0,112.4,7.6,0.569,0.247,0.713,0.489,0.117,0.585,0.623,103.62,0.544,874,2020-21
-203493-203901-203944-1629011-1629628-,R. Bullock - E. Payton - J. Randle - M. Robinson - R. Barrett,NYK,23,395.0,104.9,103.0,1.9,0.535,0.296,0.778,0.545,0.142,0.508,0.532,95.91,0.509,791,2020-21
-203081-203468-203496-203994-1626181-,D. Lillard - C. McCollum - R. Covington - J. Nurkic - N. Powell,POR,21,370.0,118.3,104.8,13.5,0.603,0.242,0.799,0.509,0.108,0.57,0.599,103.25,0.561,794,2020-21
-201942-1627749-1627751-1628401-1629640-,D. DeRozan - D. Murray - J. Poeltl - D. White - K. Johnson,SAS,24,333.0,117.9,111.9,6.0,0.579,0.258,0.751,0.509,0.1,0.562,0.587,100.07,0.533,693,2020-21
-201144-203497-203903-204060-1627777-,M. Conley - R. Gobert - J. Clarkson - J. Ingles - G. Niang,UTA,34,302.0,116.5,101.5,15.0,0.643,0.27,0.754,0.524,0.12,0.584,0.615,104.98,0.578,661,2020-21
-202683-203081-203496-1627884-1629018-,E. Kanter - D. Lillard - R. Covington - D. Jones Jr. - G. Trent Jr.,POR,25,289.0,122.9,107.4,15.5,0.532,0.309,0.735,0.522,0.113,0.566,0.597,98.29,0.553,586,2020-21
-204001-1626196-1627827-1628467-1629029-,K. Porzingis - J. Richardson - D. Finney-Smith - M. Kleber - L. Doncic,DAL,22,281.0,123.7,111.1,12.6,0.596,0.241,0.787,0.526,0.12,0.615,0.639,99.8,0.554,583,2020-21
-2544-201188-203076-203471-203484-,L. James - M. Gasol - A. Davis - D. Schroder - K. Caldwell-Pope,LAL,21,281.0,116.9,103.7,13.2,0.641,0.238,0.758,0.506,0.133,0.578,0.608,100.86,0.562,586,2020-21
-201939-203110-203145-203952-1626172-,S. Curry - D. Green - K. Bazemore - A. Wiggins - K. Looney,GSW,28,268.0,116.0,106.7,9.3,0.736,0.279,0.752,0.525,0.162,0.597,0.613,101.54,0.551,568,2020-21
-201586-201587-201976-202331-202695-,S. Ibaka - N. Batum - P. Beverley - P. George - K. Leonard,LAC,19,264.0,118.3,101.7,16.7,0.632,0.261,0.81,0.524,0.128,0.583,0.605,98.55,0.562,540,2020-21
-202324-202711-203903-1626220-1628378-,D. Favors - B. Bogdanovic - J. Clarkson - R. O'Neale - D. Mitchell,UTA,45,262.0,120.5,109.9,10.6,0.527,0.311,0.756,0.53,0.143,0.577,0.615,104.49,0.509,565,2020-21
-202330-202687-1626179-1628984-1629023-,G. Hayward - B. Biyombo - T. Rozier - D. Graham - P. Washington,CHA,26,258.0,99.2,109.2,-10.0,0.742,0.225,0.75,0.476,0.143,0.496,0.522,98.92,0.45,533,2020-21
-200794-203115-203914-203999-1627750-,P. Millsap - W. Barton - G. Harris - N. Jokic - J. Murray,DEN,16,250.0,124.0,113.1,11.0,0.6,0.336,0.777,0.561,0.125,0.586,0.613,95.41,0.546,495,2020-21
-201939-203110-203952-1626162-1630164-,S. Curry - D. Green - A. Wiggins - K. Oubre Jr. - J. Wiseman,GSW,23,247.0,96.9,109.7,-12.8,0.671,0.18,0.729,0.466,0.174,0.516,0.541,105.95,0.451,545,2020-21
-203200-203926-1626167-1627734-1627763-,J. Holiday - D. McDermott - M. Turner - D. Sabonis - M. Brogdon,IND,24,238.0,111.3,105.8,5.5,0.629,0.256,0.788,0.526,0.141,0.554,0.583,101.22,0.521,505,2020-21
-202685-203937-1628415-1629630-1630217-,J. Valanciunas - K. Anderson - D. Brooks - J. Morant - D. Bane,MEM,28,224.0,114.4,105.5,8.9,0.603,0.321,0.75,0.538,0.148,0.575,0.594,104.57,0.533,485,2020-21
-202711-203497-204060-1626220-1628378-,B. Bogdanovic - R. Gobert - J. Ingles - R. O'Neale - D. Mitchell,UTA,23,219.0,123.9,104.3,19.6,0.587,0.272,0.798,0.565,0.125,0.623,0.654,103.43,0.617,473,2020-21
-200746-201942-1627749-1629022-1629640-,L. Aldridge - D. DeRozan - D. Murray - L. Walker IV - K. Johnson,SAS,16,219.0,111.8,124.3,-12.5,0.626,0.174,0.741,0.437,0.103,0.544,0.574,100.82,0.435,457,2020-21
-200794-203115-203999-1627750-1629008-,P. Millsap - W. Barton - N. Jokic - J. Murray - M. Porter Jr.,DEN,15,218.0,125.3,119.4,5.9,0.616,0.311,0.695,0.506,0.123,0.614,0.634,96.29,0.536,439,2020-21
-202331-202694-202695-202704-1627826-,P. George - M. Morris Sr. - K. Leonard - R. Jackson - I. Zubac,LAC,19,215.0,121.4,102.6,18.8,0.574,0.261,0.839,0.578,0.134,0.616,0.642,95.12,0.604,426,2020-21
-203081-203468-203496-203994-1627884-,D. Lillard - C. McCollum - R. Covington - J. Nurkic - D. Jones Jr.,POR,15,208.0,114.4,106.8,7.5,0.623,0.201,0.768,0.483,0.114,0.578,0.598,101.77,0.525,439,2020-21
-2772-202710-1628389-1629130-1629134-,T. Ariza - J. Butler - B. Adebayo - D. Robinson - K. Nunn,MIA,16,203.0,116.7,110.3,6.4,0.669,0.18,0.764,0.475,0.123,0.59,0.619,96.65,0.538,407,2020-21
-202710-203482-1628389-1629130-1629134-,J. Butler - K. Olynyk - B. Adebayo - D. Robinson - K. Nunn,MIA,17,198.0,112.7,107.8,4.9,0.729,0.235,0.822,0.514,0.104,0.528,0.561,95.8,0.521,393,2020-21
-101108-1626164-1628969-1629028-1629661-,C. Paul - D. Booker - M. Bridges - D. Ayton - C. Johnson,PHX,29,197.0,119.4,109.3,10.1,0.545,0.363,0.677,0.517,0.127,0.561,0.592,97.95,0.542,403,2020-21
-201143-201588-1628983-1629647-1629652-,A. Horford - G. Hill - S. Gilgeous-Alexander - D. Bazley - L. Dort,OKC,9,195.0,110.1,108.5,1.6,0.573,0.186,0.778,0.494,0.108,0.546,0.577,99.33,0.516,407,2020-21
-203991-1628381-1628989-1629027-1629629-,C. Capela - J. Collins - K. Huerter - T. Young - C. Reddish,ATL,12,194.0,115.3,121.1,-5.8,0.64,0.349,0.72,0.535,0.165,0.558,0.596,101.7,0.492,412,2020-21
-201599-201935-202681-203925-1628971-,D. Jordan - J. Harden - K. Irving - J. Harris - B. Brown,BKN,16,192.0,116.8,112.2,4.6,0.637,0.229,0.725,0.504,0.137,0.598,0.616,99.49,0.514,393,2020-21
-201942-1627749-1627751-1629022-1629640-,D. DeRozan - D. Murray - J. Poeltl - L. Walker IV - K. Johnson,SAS,24,191.0,114.0,115.8,-1.7,0.531,0.295,0.754,0.511,0.089,0.508,0.539,98.69,0.475,392,2020-21
-203200-1626167-1627734-1627747-1627763-,J. Holiday - M. Turner - D. Sabonis - C. LeVert - M. Brogdon,IND,10,188.0,97.8,104.2,-6.4,0.664,0.196,0.744,0.464,0.146,0.504,0.535,103.22,0.452,404,2020-21
-201939-203110-203952-1626162-1626172-,S. Curry - D. Green - A. Wiggins - K. Oubre Jr. - K. Looney,GSW,26,186.0,114.1,105.1,9.0,0.733,0.226,0.725,0.48,0.136,0.568,0.599,104.06,0.531,397,2020-21
-202324-202711-204060-1626220-1628378-,D. Favors - B. Bogdanovic - J. Ingles - R. O'Neale - D. Mitchell,UTA,36,184.0,107.7,106.8,0.9,0.586,0.303,0.786,0.53,0.152,0.537,0.567,102.47,0.48,389,2020-21
-203503-203991-1628381-1628989-1629027-,T. Snell - C. Capela - J. Collins - K. Huerter - T. Young,ATL,16,182.0,117.4,105.6,11.8,0.588,0.344,0.725,0.545,0.125,0.55,0.575,97.93,0.565,368,2020-21
-201933-201961-203486-203924-1626153-,B. Griffin - W. Ellington - M. Plumlee - J. Grant - D. Wright,DET,13,178.0,114.4,117.1,-2.7,0.645,0.243,0.787,0.499,0.105,0.544,0.57,98.0,0.478,362,2020-21
-201937-1626157-1629006-1630162-1630183-,R. Rubio - K. Towns - J. Okogie - A. Edwards - J. McDaniels,MIN,22,172.0,107.5,104.5,3.0,0.669,0.253,0.788,0.504,0.139,0.513,0.562,104.6,0.503,373,2020-21
-101108-1626163-1626164-1628969-1629028-,C. Paul - F. Kaminsky - D. Booker - M. Bridges - D. Ayton,PHX,13,164.0,117.4,110.1,7.3,0.595,0.259,0.716,0.526,0.138,0.602,0.627,99.08,0.551,340,2020-21
-201143-1628983-1629647-1629652-1630177-,A. Horford - S. Gilgeous-Alexander - D. Bazley - L. Dort - T. Maledon,OKC,9,154.0,97.8,109.0,-11.2,0.593,0.129,0.801,0.44,0.119,0.502,0.524,99.84,0.431,319,2020-21
-203115-203999-1627750-1628420-1629008-,W. Barton - N. Jokic - J. Murray - M. Morris - M. Porter Jr.,DEN,12,151.0,125.5,101.9,23.6,0.604,0.252,0.78,0.538,0.104,0.617,0.636,101.28,0.592,318,2020-21
-201939-203110-203952-1626162-1629308-,S. Curry - D. Green - A. Wiggins - K. Oubre Jr. - J. Toscano-Anderson,GSW,14,149.0,118.3,108.4,9.9,0.757,0.231,0.765,0.524,0.159,0.617,0.645,106.21,0.57,327,2020-21
-201565-203457-203493-203944-1629628-,D. Rose - N. Noel - R. Bullock - J. Randle - R. Barrett,NYK,24,145.0,116.8,101.0,15.8,0.623,0.197,0.745,0.495,0.135,0.587,0.625,100.53,0.567,303,2020-21
-1626204-1628386-1629012-1629636-1630171-,L. Nance Jr. - J. Allen - C. Sexton - D. Garland - I. Okoro,CLE,10,141.0,100.3,114.3,-13.9,0.596,0.261,0.68,0.474,0.151,0.504,0.534,98.79,0.451,292,2020-21
-201565-201959-202692-1630167-1630193-,D. Rose - T. Gibson - A. Burks - O. Toppin - I. Quickley,NYK,18,139.0,118.5,98.9,19.5,0.44,0.327,0.723,0.537,0.089,0.512,0.562,95.24,0.584,271,2020-21
-202066-203897-1628976-1629632-1630172-,G. Temple - Z. LaVine - W. Carter Jr. - C. White - P. Williams,CHI,14,138.0,109.3,113.5,-4.1,0.616,0.198,0.809,0.515,0.143,0.567,0.598,103.97,0.49,300,2020-21
-203087-203200-1626167-1627734-1627763-,J. Lamb - J. Holiday - M. Turner - D. Sabonis - M. Brogdon,IND,11,137.0,112.2,121.1,-8.9,0.65,0.243,0.704,0.46,0.122,0.553,0.577,97.72,0.454,278,2020-21
-201144-202711-203497-204060-1626220-,M. Conley - B. Bogdanovic - R. Gobert - J. Ingles - R. O'Neale,UTA,10,135.0,119.3,90.8,28.5,0.667,0.315,0.805,0.584,0.154,0.59,0.631,100.69,0.672,285,2020-21
-201566-203078-1629021-1629060-1629726-,R. Westbrook - B. Beal - M. Wagner - R. Hachimura - G. Mathews,WAS,15,134.0,104.0,110.2,-6.1,0.679,0.152,0.629,0.406,0.145,0.529,0.575,108.1,0.487,297,2020-21
-202066-202696-1628464-1629632-1630172-,G. Temple - N. Vucevic - D. Theis - C. White - P. Williams,CHI,10,131.0,94.6,114.1,-19.5,0.704,0.207,0.852,0.509,0.141,0.494,0.506,101.18,0.416,277,2020-21
-202684-202689-1627759-1628369-1628464-,T. Thompson - K. Walker - J. Brown - J. Tatum - D. Theis,BOS,11,131.0,118.0,114.0,4.0,0.483,0.333,0.752,0.547,0.127,0.546,0.574,97.19,0.523,267,2020-21
-200768-203382-1626181-1627783-1627832-,K. Lowry - A. Baynes - N. Powell - P. Siakam - F. VanVleet,TOR,10,129.0,120.4,116.4,3.9,0.622,0.237,0.736,0.456,0.107,0.562,0.604,104.19,0.493,280,2020-21
-203109-1626164-1626166-1628969-1629028-,J. Crowder - D. Booker - C. Payne - M. Bridges - D. Ayton,PHX,37,127.0,120.8,108.8,12.0,0.573,0.234,0.669,0.48,0.131,0.622,0.659,104.92,0.554,274,2020-21
-201572-203114-203507-1627854-1628978-,B. Lopez - K. Middleton - G. Antetokounmpo - B. Forbes - D. DiVincenzo,MIL,26,126.0,121.3,111.0,10.3,0.556,0.235,0.783,0.492,0.069,0.581,0.601,105.94,0.522,277,2020-21
-202339-1626195-1627742-1628366-1629627-,E. Bledsoe - W. Hernangomez - B. Ingram - L. Ball - Z. Williamson,NOP,13,126.0,118.6,105.7,12.9,0.587,0.275,0.769,0.521,0.14,0.577,0.605,107.08,0.551,279,2020-21
-202339-203500-1627742-1629627-1629638-,E. Bledsoe - S. Adams - B. Ingram - Z. Williamson - N. Alexander-Walker,NOP,11,125.0,123.2,124.0,-0.8,0.635,0.321,0.683,0.515,0.132,0.6,0.636,96.11,0.525,250,2020-21
-202322-203482-1626174-1629645-1630256-,J. Wall - K. Olynyk - C. Wood - K. Porter Jr. - J. Tate,HOU,6,125.0,120.4,116.0,4.4,0.528,0.336,0.727,0.527,0.145,0.573,0.597,103.32,0.523,269,2020-21
-200752-201988-1627749-1627751-1630170-,R. Gay - P. Mills - D. Murray - J. Poeltl - D. Vassell,SAS,25,123.0,111.6,85.2,26.4,0.627,0.205,0.818,0.523,0.124,0.59,0.598,104.7,0.638,267,2020-21
-202330-203469-1626179-1629023-1630163-,G. Hayward - C. Zeller - T. Rozier - P. Washington - L. Ball,CHA,13,122.0,122.0,115.0,7.0,0.691,0.225,0.825,0.514,0.142,0.614,0.643,105.18,0.52,268,2020-21
-203497-203903-204060-1627777-1629671-,R. Gobert - J. Clarkson - J. Ingles - G. Niang - M. Oni,UTA,22,118.0,120.1,96.4,23.7,0.532,0.333,0.737,0.553,0.145,0.612,0.627,101.36,0.604,249,2020-21
-202339-203500-1627742-1628366-1628404-,E. Bledsoe - S. Adams - B. Ingram - L. Ball - J. Hart,NOP,26,117.0,116.7,105.8,11.0,0.619,0.424,0.818,0.614,0.143,0.571,0.597,99.93,0.564,245,2020-21
-201152-202696-203107-203897-1630172-,T. Young - N. Vucevic - T. Satoransky - Z. LaVine - P. Williams,CHI,10,116.0,110.2,108.9,1.3,0.703,0.257,0.705,0.489,0.123,0.554,0.564,97.74,0.512,236,2020-21
-203932-203999-1628408-1629008-1630267-,A. Gordon - N. Jokic - P. Dozier - M. Porter Jr. - F. Campazzo,DEN,10,115.0,113.5,118.4,-4.9,0.676,0.212,0.802,0.51,0.135,0.58,0.609,103.28,0.482,244,2020-21
-200768-203382-1627783-1627832-1628384-,K. Lowry - A. Baynes - P. Siakam - F. VanVleet - O. Anunoby,TOR,10,114.0,102.9,107.1,-4.2,0.685,0.202,0.734,0.473,0.144,0.524,0.556,101.65,0.473,243,2020-21
-1628386-1629012-1629636-1629731-1630171-,J. Allen - C. Sexton - D. Garland - D. Wade - I. Okoro,CLE,12,113.0,102.6,100.4,2.1,0.607,0.287,0.721,0.511,0.18,0.518,0.547,98.7,0.52,233,2020-21
-203503-203991-203992-1628381-1629027-,T. Snell - C. Capela - B. Bogdanovic - J. Collins - T. Young,ATL,11,113.0,128.1,121.7,6.4,0.616,0.278,0.729,0.523,0.139,0.648,0.679,99.4,0.513,231,2020-21
-203991-203992-1628381-1628989-1629027-,C. Capela - B. Bogdanovic - J. Collins - K. Huerter - T. Young,ATL,14,112.0,123.1,101.3,21.8,0.509,0.318,0.775,0.559,0.113,0.589,0.62,102.01,0.613,238,2020-21
